Wall time,Step,Value
1523829529.890074,18631,172032.4375
1523829689.357503,18764,172024.015625
1523830012.258556,19064,199113.78125
1523830119.596487,19164,148197.3125
1523830442.034698,19464,170467.1875
1523830549.291858,19564,151061.46875
1523830871.954581,19864,192849.1875
1523830979.332297,19964,160797.546875
1523831086.75932,20064,202762.78125
1523831194.256506,20164,179080.21875
1523831301.792174,20264,202613.53125
1523831409.215584,20364,165488.09375
1523831517.026566,20464,154244.21875
1523831840.643429,20764,146475.6875
1523832055.577002,20964,167591.0625
1523832107.120398,20997,155968.90625
1523832214.560505,21097,165726.59375
1523832322.039429,21197,155707.640625
1523832429.183838,21297,156584.875
1523832643.835675,21497,164207.0
1523832751.343744,21597,139381.4375
1523832858.766382,21697,153128.84375
1523832966.298245,21797,179326.21875
1523833288.695407,22097,152532.171875
1523833396.089109,22197,124169.15625
1523833503.444319,22297,171411.390625
1523833718.620097,22497,163056.40625
1523833825.767725,22597,132946.875
1523833933.143253,22697,182994.84375
1523834040.365542,22797,164565.125
1523834362.40274,23097,133058.546875
1523834576.757908,23297,180190.75
1523835273.248336,23930,170536.0
1523835487.496651,24130,137467.421875
1523835701.958828,24330,137052.8125
1523836346.780804,24930,130768.234375
1523836668.767428,25230,140518.703125
1523836776.036512,25330,124273.203125
1523836883.337827,25430,144615.75
1523837098.53651,25630,151429.40625
1523837149.943702,25663,142945.375
1523837364.721039,25863,150164.578125
1523837472.010163,25963,161783.28125
1523837793.977249,26263,159422.03125
1523837901.16732,26363,127230.359375
1523838115.936847,26563,103265.78125
1523838223.299041,26663,115948.9921875
1523838545.924883,26963,138781.796875
1523838653.168198,27063,116921.4375
1523838760.558444,27163,172200.15625
1523838867.650847,27263,132672.625
1523838975.189417,27363,125116.8515625
1523839082.59496,27463,104129.4296875
1523839189.839536,27563,175409.640625
1523839297.574417,27663,139552.0
1523839405.407422,27763,121922.828125
1523839512.869843,27863,134199.875
1523839672.061923,27996,119797.84375
1523839887.301543,28196,149730.453125
1523839994.734679,28296,128670.6875
1523840424.577088,28696,122049.09375
1523840532.581001,28796,161901.015625
1523840747.373925,28996,143927.71875
1523840854.987039,29096,105466.828125
1523840962.637,29196,111075.34375
1523841179.001153,29396,160853.828125
1523841393.962421,29596,129140.5703125
1523841501.269633,29696,123665.21875
1523841824.109237,29996,119502.765625
1523842145.956114,30296,117385.875
1523842304.715298,30429,121351.9609375
1523842411.940116,30529,105223.71875
1523842626.537216,30729,137615.828125
1523842733.910284,30829,130307.359375
1523843055.701486,31129,152861.78125
1523843163.036718,31229,123406.984375
1523843270.309847,31329,114279.7109375
1523843485.247641,31529,152354.6875
1523843592.500433,31629,95630.203125
1523843700.071868,31729,116751.9921875
1523843807.449385,31829,125226.59375
1523843914.831477,31929,128482.484375
1523844022.407595,32029,139657.15625
1523844130.083392,32129,127375.84375
1523844237.420368,32229,130852.171875
1523844452.148015,32429,124532.046875
1523844559.68888,32529,92407.03125
1523844718.574539,32662,113647.4375
1523845148.26138,33062,96654.8046875
1523845255.70781,33162,143825.78125
1523845363.930362,33262,108438.5546875
1523845471.387809,33362,120957.0
1523845686.223232,33562,124787.109375
1523845793.50784,33662,97556.25
1523846008.229004,33862,114148.1875
1523846223.2858,34062,118513.9375
1523846438.018715,34262,119577.203125
1523846544.990848,34362,121123.828125
1523846652.20786,34462,117449.71875
1523846759.562983,34562,109232.96875
1523846974.873269,34762,100051.09375
1523847082.210766,34862,93439.359375
1523847241.264734,34995,100807.875
1523847348.743072,35095,113634.203125
1523847563.464777,35295,135599.03125
1523847778.023156,35495,125345.28125
