Wall time,Step,Value
1523653206.52478,32516,260053.375
1523653314.363587,32616,227233.125
1523653380.882069,32648,242594.21875
1523653597.050684,32848,252523.6875
1523653705.171764,32948,220189.9375
1523653813.328716,33048,282728.0625
1523653921.228954,33148,236541.3125
1523654029.349125,33248,227308.578125
1523654136.980036,33348,213279.921875
1523654244.737212,33448,255072.9375
1523654353.25891,33548,208815.03125
1523654568.827092,33748,223132.09375
1523654676.591107,33848,280547.1875
1523654892.087004,34048,256141.75
1523655323.384225,34448,232634.6875
1523655431.077189,34548,256045.90625
1523655538.986389,34648,196264.3125
1523655647.367077,34748,218232.125
1523655863.024015,34948,216569.3125
1523655929.221191,34980,210320.9375
1523656145.189584,35180,203397.09375
1523656361.370296,35380,244935.0
1523656576.971714,35580,242172.28125
1523656684.768357,35680,244860.34375
1523656792.641019,35780,214793.6875
1523656900.254405,35880,244852.8125
1523657116.557216,36080,190525.21875
1523657224.535334,36180,226959.375
1523657440.110045,36380,198260.84375
1523657548.07133,36480,214541.25
1523657655.941315,36580,260330.203125
1523657763.522622,36680,201971.21875
1523657979.094716,36880,193915.625
1523658087.110727,36980,205919.1875
1523658303.225163,37180,214549.09375
1523658410.867756,37280,240723.90625
1523658477.149892,37312,233847.8125
1523658585.507888,37412,264312.8125
1523658693.606604,37512,215128.34375
1523658802.465396,37612,243976.21875
1523659234.120608,38012,202475.65625
1523659341.847116,38112,236112.078125
1523659557.957055,38312,182422.9375
1523659665.993971,38412,219919.171875
1523659881.804048,38612,182094.671875
1523659989.722841,38712,198797.59375
1523660205.816176,38912,209021.125
1523660313.657659,39012,215980.28125
1523660421.651209,39112,234568.03125
1523660529.335839,39212,254067.78125
1523660637.2881,39312,188721.0625
1523660745.078881,39412,212649.625
1523660852.817605,39512,201670.921875
1523661134.969878,39744,167828.890625
1523661350.71182,39944,252567.8125
1523661566.355687,40144,218648.9375
1523661782.289834,40344,214654.65625
1523661890.558937,40444,216348.625
1523661998.282932,40544,235618.9375
1523662106.345423,40644,211978.21875
1523662322.593952,40844,183741.03125
1523662538.364756,41044,156863.09375
1523662754.057096,41244,225857.796875
1523662861.897173,41344,190013.5625
1523662969.726548,41444,194902.75
1523663293.408921,41744,206534.421875
1523663509.114838,41944,197778.4375
1523663683.774888,42076,229186.703125
1523663791.54678,42176,194070.90625
1523663899.493033,42276,180742.09375
1523664007.269957,42376,223765.46875
1523664222.927566,42576,222288.3125
1523664330.936042,42676,210294.46875
1523664438.85627,42776,206676.03125
1523664762.78926,43076,195620.4375
1523664870.715637,43176,171664.5
1523665087.363983,43376,166469.90625
1523665195.481912,43476,194124.28125
1523665411.09822,43676,219856.09375
1523665736.02295,43976,191055.75
1523665951.351591,44176,186864.046875
1523666059.216934,44276,212486.171875
1523666125.833241,44308,181854.53125
1523666233.846164,44408,228215.390625
1523666557.095057,44708,211845.765625
1523667095.950593,45208,182868.25
1523667203.492304,45308,229144.46875
1523667311.231952,45408,230277.6875
1523667742.589964,45808,242419.75
1523667850.709521,45908,182406.21875
1523667959.270477,46008,237992.59375
1523668282.353331,46308,262347.40625
1523668390.137201,46408,216664.875
1523668497.919575,46508,197742.71875
1523668606.191366,46608,192702.390625
1523668780.351787,46740,156792.8125
1523668887.842782,46840,211746.296875
1523668995.53818,46940,216910.578125
1523669211.312957,47140,232300.40625
1523669318.897341,47240,209760.84375
1523669426.641422,47340,226809.234375
1523669534.310834,47440,203630.03125
1523669750.275623,47640,191830.015625
1523669965.970984,47840,185825.59375
1523670073.700768,47940,195674.578125
1523670397.231025,48240,183923.75
1523670612.687849,48440,162925.84375
1523670720.379662,48540,195630.625
1523670828.163063,48640,186809.21875
1523671152.757467,48940,197793.875
1523671218.867615,48972,207091.78125
1523671434.540457,49172,207462.53125
1523671542.511869,49272,212741.421875
1523671650.283035,49372,176486.359375
1523671758.269776,49472,224153.65625
1523671866.39305,49572,214008.140625
1523672081.889152,49772,203524.8125
1523672189.612946,49872,175349.546875
1523672297.396591,49972,216380.0
1523672620.81481,50272,188688.359375
1523672729.070573,50372,206383.21875
1523672837.352245,50472,267112.875
1523672945.438864,50572,172064.4375
1523673053.500406,50672,193479.9375
1523673161.390217,50772,189732.53125
1523673269.047154,50872,204586.625
1523673376.928125,50972,185251.9375
1523673484.471446,51072,235052.25
1523673766.363999,51304,180572.203125
1523673982.110949,51504,222341.46875
1523674090.03481,51604,186192.65625
1523674414.093531,51904,166788.734375
1523674629.891919,52104,176459.640625
1523674737.628553,52204,223430.0
1523674952.825453,52404,189612.8125
1523675168.171634,52604,221904.4375
1523675383.422807,52804,178386.96875
1523675706.570139,53104,178832.0625
1523675814.378082,53204,205241.6875
1523675922.506474,53304,202804.625
1523676030.095797,53404,195083.03125
1523676137.811727,53504,220405.953125
1523676246.818776,53604,178645.65625
1523676313.451765,53636,160701.203125
1523676421.613478,53736,200076.171875
1523676529.445589,53836,218840.71875
1523676637.173086,53936,177262.0625
1523676744.843925,54036,210722.65625
1523676852.627846,54136,200873.96875
1523676960.685279,54236,187290.265625
1523677068.622569,54336,202935.65625
1523677177.516915,54436,165170.09375
1523677392.724083,54636,181692.46875
1523677500.289275,54736,174835.375
1523677607.848516,54836,197821.4375
1523677823.155843,55036,209685.96875
1523678038.456372,55236,180180.078125
1523678361.734073,55536,168943.984375
1523678469.511835,55636,192988.0
1523678577.559158,55736,230782.625
1523678858.836294,55968,171966.625
1523678966.738033,56068,188228.515625
1523679182.142776,56268,163064.625
1523679289.804253,56368,163886.5
1523679398.986728,56468,188456.40625
1523679829.47841,56868,153899.609375
1523679937.179101,56968,167821.875
1523680153.321158,57168,151091.328125
1523680476.893421,57468,197267.3125
1523680584.574257,57568,184177.765625
1523680800.254964,57768,208116.90625
1523681124.297754,58068,183783.03125
1523681231.912185,58168,169827.84375
1523681339.58119,58268,204220.65625
1523681514.772251,58400,167546.453125
1523681623.275743,58500,206455.40625
1523681839.082875,58700,183737.4375
1523681947.09438,58800,189368.546875
1523682055.554893,58900,175671.75
1523682163.228459,59000,160290.6875
1523682271.047948,59100,176448.6875
1523682595.469144,59400,216030.78125
1523682703.59054,59500,161635.515625
1523682918.970666,59700,170540.734375
1523683026.768805,59800,206390.53125
1523683134.443333,59900,151386.984375
1523683242.428734,60000,199814.140625
1523683673.602063,60400,207951.6875
1523683781.345629,60500,179469.0
1523683888.904795,60600,178094.921875
1523684278.891565,60932,162377.015625
1523684386.863824,61032,169985.046875
1523684494.738381,61132,203409.546875
1523684602.607667,61232,164662.90625
1523684710.752107,61332,174739.28125
1523685034.554097,61632,191960.125
1523685142.546926,61732,177958.875
1523685358.103499,61932,176573.46875
1523685574.559852,62132,197853.9375
1523685790.115931,62332,210973.46875
1523686005.698903,62532,161255.84375
1523686113.699641,62632,187844.3125
1523686329.458929,62832,181698.78125
1523686437.201276,62932,189589.75
1523686612.097785,63064,247933.53125
1523686827.578103,63264,193744.46875
1523687150.552721,63564,215338.59375
1523687258.302851,63664,185109.84375
1523687474.542597,63864,191413.84375
1523687690.284956,64064,164436.84375
1523687797.832594,64164,193303.15625
1523688013.607027,64364,175565.84375
1523688121.755775,64464,141010.46875
1523688229.708353,64564,193565.0625
1523688445.768765,64764,169209.15625
1523688553.457576,64864,151251.265625
1523688661.274479,64964,188729.5625
1523688769.070382,65064,196709.71875
1523688877.382108,65164,161136.03125
1523688985.201575,65264,182750.0625
1523689483.12821,65696,144568.65625
1523689806.918183,65996,185420.140625
1523690130.634408,66296,202500.296875
1523690346.64413,66496,196848.5625
1523690454.497705,66596,189572.71875
1523690670.105074,66796,168571.15625
1523690885.860673,66996,188245.921875
1523690993.637273,67096,173366.5625
1523691101.574045,67196,133092.0
1523691424.977821,67496,160168.890625
1523691532.81318,67596,148332.953125
1523691599.09296,67628,175859.9375
1523691707.329611,67728,171440.125
1523691815.130313,67828,154250.71875
1523692030.571134,68028,171162.34375
1523692461.557932,68428,156977.34375
1523692569.33982,68528,185434.453125
1523692784.795603,68728,193179.359375
1523692892.595642,68828,171461.59375
1523693000.502888,68928,164532.0625
1523693108.259139,69028,144201.390625
1523693540.734175,69428,152558.46875
1523693864.201302,69728,164869.109375
1523694254.034142,70060,204415.40625
1523694361.707444,70160,173137.5
1523694469.568542,70260,189228.0
1523694577.446123,70360,151306.65625
1523694685.110991,70460,153672.359375
1523694792.896042,70560,192375.28125
1523694900.624031,70660,188975.625
1523695008.502278,70760,201594.40625
1523695116.239009,70860,151761.390625
1523695332.162945,71060,164133.15625
1523695547.647535,71260,172453.5
1523695655.427488,71360,177563.0
1523695979.017759,71660,175670.125
1523696086.820312,71760,176247.40625
1523696302.665569,71960,195602.5
1523696410.387754,72060,131525.8125
1523696518.32508,72160,165664.640625
1523696626.232847,72260,165362.21875
1523696692.696529,72292,164005.3125
1523696800.685913,72392,180229.96875
1523696908.663924,72492,150249.0
1523697339.598922,72892,197111.828125
1523697447.458587,72992,197802.5
1523697770.817532,73292,180477.8125
1523697986.326762,73492,150959.546875
1523698201.97443,73692,150258.625
1523698417.477119,73892,188304.84375
1523698632.902314,74092,154684.9375
1523698848.877488,74292,202405.46875
1523699172.600651,74592,150854.0
1523699238.819347,74624,169301.515625
1523699454.735642,74824,199223.34375
1523699562.472531,74924,177371.953125
1523699670.265217,75024,147286.28125
1523699993.37493,75324,208578.15625
1523700208.985285,75524,159275.046875
1523700316.771624,75624,206075.96875
1523700639.786628,75924,144789.4375
1523700747.466482,76024,146525.6875
1523700963.172375,76224,171918.296875
1523701070.904976,76324,146650.28125
1523701502.375056,76724,163031.453125
1523701610.499551,76824,153676.375
1523701892.884909,77056,149113.75
1523702432.552985,77556,150671.203125
1523702540.334175,77656,172367.375
1523702863.340151,77956,147509.625
1523702970.966116,78056,139275.0
1523703078.921208,78156,121976.40625
1523703618.269211,78656,155977.1875
1523703726.030185,78756,140241.171875
1523703833.892229,78856,140038.578125
1523703942.000433,78956,159689.734375
1523704157.558711,79156,164219.75
1523704265.355596,79256,159856.21875
1523704331.691444,79288,149225.4375
1523704547.199492,79488,132294.3125
1523704654.752459,79588,158198.96875
1523704762.539685,79688,164025.4375
1523704870.161871,79788,157500.640625
1523704977.921801,79888,193491.0
1523705085.717464,79988,126922.0078125
1523705301.460898,80188,165015.78125
1523705409.096159,80288,193094.09375
1523705517.297118,80388,178154.375
1523705625.299028,80488,194191.578125
1523705733.299363,80588,174889.125
1523705949.069343,80788,166056.890625
1523706056.930611,80888,160915.140625
1523706164.69866,80988,156751.1875
1523706380.342633,81188,168882.609375
1523706488.111032,81288,154514.84375
1523706985.822477,81720,122290.828125
1523707201.44707,81920,177256.84375
1523707524.727673,82220,164153.8125
1523707632.640367,82320,156256.15625
1523707740.248085,82420,198707.546875
1523707848.168923,82520,158333.5625
1523707955.813914,82620,167217.203125
1523708279.07535,82920,144452.90625
1523708386.639677,83020,139827.171875
1523708494.198832,83120,154935.9375
1523708601.758476,83220,143177.9375
1523708816.879613,83420,201805.4375
1523708924.689143,83520,141557.484375
1523709032.35917,83620,136182.8125
1523709247.546265,83820,153218.8125
1523709355.15544,83920,127847.0859375
1523709529.36678,84052,179001.1875
1523709637.008049,84152,171131.65625
1523709744.480502,84252,144564.484375
1523709852.181909,84352,138963.265625
1523709959.653915,84452,151245.25
1523710067.182208,84552,167157.421875
1523710174.745468,84652,166673.71875
1523710389.966246,84852,152328.03125
1523710497.476302,84952,153133.5625
1523710712.766076,85152,145180.28125
1523710820.578323,85252,130063.2265625
1523710928.331112,85352,162547.0625
1523711143.850625,85552,145704.84375
1523711466.947305,85852,154636.40625
1523711574.669253,85952,166866.75
1523711790.138475,86152,187535.65625
1523711964.011798,86284,147802.0625
1523712180.184186,86484,125051.8359375
1523712288.017969,86584,160603.0625
1523712718.719197,86984,165158.046875
1523712826.267583,87084,143634.6875
1523713041.642273,87284,138124.25
1523713150.044641,87384,153177.71875
1523713257.763355,87484,127039.65625
1523713365.503396,87584,175311.609375
